id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
309976615,c0783c89-dda9-425d-aa4a-2e5fbdf965af,2025-08-02 13:58:03,2025-08-02,2025-08-02 17:58:03 UTC,Eastern Time (US & Canada),1768830,kynaturalist,Kyler Phillips,2025-08-29 14:50:18 UTC,2025-10-25 01:19:06 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/309976615,https://inaturalist-open-data.s3.amazonaws.com/photos/580987094/medium.jpg,,"",,1,0,false,2,"Oxford County, US-ME, US",44.3322342,-70.75488213,20,,,,20,,open,false,,,Scaly Chanterelle,Turbinellus floccosus,Scaly Chanterelle,Fungi,417398
313685812,9d8e1f66-a6f4-40cc-b3f5-45a58f676dcd,2025-09-13 11:08:22,2025-09-13,2025-09-13 15:08:22 UTC,Eastern Time (US & Canada),1046402,jsrhollis,JSReiff,2025-09-13 21:57:55 UTC,2025-09-13 21:57:56 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/313685812,https://inaturalist-open-data.s3.amazonaws.com/photos/566495330/medium.jpg,,"",,0,0,false,843,"Greenwood, ME, US",44.3335116667,-70.7566083333,7,,,,7,,,false,,,,Solidago caesia,bluestem goldenrod,Plantae,120005
313685959,9750eaa7-8580-4edf-9c61-828203906dcb,2025-09-13 11:16:10,2025-09-13,2025-09-13 15:16:10 UTC,Eastern Time (US & Canada),1046402,jsrhollis,JSReiff,2025-09-13 21:58:26 UTC,2025-09-19 21:16:03 UTC,research,CC-BY,https://www.inaturalist.org/observations/313685959,https://inaturalist-open-data.s3.amazonaws.com/photos/566495581/medium.jpg,,"",,1,0,false,843,"Greenwood, ME, US",44.3336866667,-70.7561033333,39,,,,39,,,false,,,Dryopteris intermedia,Dryopteris intermedia,intermediate wood fern,Plantae,82568
313833038,e6630bbf-6bb2-4cdf-a9ed-0716c34f3dff,2025-09-13 10:56:44-04:00,2025-09-13,2025-09-13 14:56:44 UTC,Eastern Time (US & Canada),6903448,jamesalbany,,2025-09-14 13:39:52 UTC,2025-09-14 15:33:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/313833038,https://inaturalist-open-data.s3.amazonaws.com/photos/566780161/medium.jpg,,"","",1,0,false,3,"Albany Twp, ME, US",44.3351083333,-70.7608116667,1147,,,,1147,,,false,,,Hemlock Looper Moth,Lambdina fiscellaria,Hemlock Looper Moth,Insecta,154446
317591961,64807211-b602-4ca8-81b8-ae8da84e51f8,2025-09-29 12:17:13,2025-09-29,2025-09-29 16:17:13 UTC,Eastern Time (US & Canada),1046402,jsrhollis,JSReiff,2025-09-29 18:19:47 UTC,2025-09-29 18:19:48 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/317591961,https://inaturalist-open-data.s3.amazonaws.com/photos/573899527/medium.jpg,,"",,0,0,false,843,"Sunburn River Valley Lane, Greenwood, ME, US",44.3323583333,-70.7534466667,3,,,,3,,,false,,,,Solidago caesia,bluestem goldenrod,Plantae,120005
317592074,80df13e7-37ff-4ee8-9e2a-05b8ef6dc320,2025-09-29 12:14:10,2025-09-29,2025-09-29 16:14:10 UTC,Eastern Time (US & Canada),1046402,jsrhollis,JSReiff,2025-09-29 18:20:14 UTC,2025-09-29 23:58:19 UTC,research,CC-BY,https://www.inaturalist.org/observations/317592074,https://inaturalist-open-data.s3.amazonaws.com/photos/573899677/medium.jpg,,"",,1,0,false,843,"Greenwood, ME, US",44.3321883333,-70.7548533333,3,,,,3,,,false,,,Mitchella repens,Mitchella repens,partridgeberry,Plantae,83799
317592124,49b5525f-fa43-4cbc-86bb-279698e3ea82,2025-09-29 12:02:47,2025-09-29,2025-09-29 16:02:47 UTC,Eastern Time (US & Canada),1046402,jsrhollis,JSReiff,2025-09-29 18:20:31 UTC,2025-10-01 10:09:53 UTC,research,CC-BY,https://www.inaturalist.org/observations/317592124,https://inaturalist-open-data.s3.amazonaws.com/photos/573899807/medium.jpg,,"",,1,0,false,843,"Greenwood, ME, US",44.3342883333,-70.7587133333,3,,,,3,,,false,,,Medeola virginiana,Medeola virginiana,Cucumber Root,Plantae,54924
317592171,2dae67c9-6263-429e-b3f7-b69522eac4dc,2025-09-29 11:57:22,2025-09-29,2025-09-29 15:57:22 UTC,Eastern Time (US & Canada),1046402,jsrhollis,JSReiff,2025-09-29 18:20:45 UTC,2025-09-30 02:21:53 UTC,research,CC-BY,https://www.inaturalist.org/observations/317592171,https://inaturalist-open-data.s3.amazonaws.com/photos/573899925/medium.jpg,,"",,1,0,false,843,"Albany Twp, ME, US",44.3355616667,-70.7603083333,4,,,,4,,,false,,,Bazzania trilobata,Bazzania trilobata,greater whipwort,Plantae,136608
317592218,630d4bd3-17c5-43ed-9ad3-7ebfbc9ca420,2025-09-29 11:56:45,2025-09-29,2025-09-29 15:56:45 UTC,Eastern Time (US & Canada),1046402,jsrhollis,JSReiff,2025-09-29 18:21:02 UTC,2025-10-08 12:46:42 UTC,research,CC-BY,https://www.inaturalist.org/observations/317592218,https://inaturalist-open-data.s3.amazonaws.com/photos/573900021/medium.jpg,,"",,1,0,false,843,"Albany Twp, ME, US",44.3356383333,-70.7604833333,3,,,,3,,,false,,,Coptis trifolia,Coptis trifolia,threeleaf goldthread,Plantae,126251
317592342,2cd4f113-1aa8-425b-9f3b-5b6a0866abcb,2025-09-29 11:55:46,2025-09-29,2025-09-29 15:55:46 UTC,Eastern Time (US & Canada),1046402,jsrhollis,JSReiff,2025-09-29 18:21:17 UTC,2025-10-17 00:45:16 UTC,research,CC-BY,https://www.inaturalist.org/observations/317592342,https://inaturalist-open-data.s3.amazonaws.com/photos/573900113/medium.jpg,,"",,1,0,false,843,"Albany Twp, ME, US",44.3358416667,-70.7607033333,14,,,,14,,open,false,,,Gaultheria hispidula,Gaultheria hispidula,creeping snowberry,Plantae,53460
317592565,a6cbab3d-2b0b-4a68-91a0-9778c1d9f483,2025-09-29 11:53:07,2025-09-29,2025-09-29 15:53:07 UTC,Eastern Time (US & Canada),1046402,jsrhollis,JSReiff,2025-09-29 18:22:33 UTC,2025-09-29 18:22:34 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/317592565,https://inaturalist-open-data.s3.amazonaws.com/photos/573900573/medium.jpg,,"",,0,0,false,843,"Vernon St, Albany Twp, ME, US",44.3355116667,-70.7613366667,4,,,,4,,,false,,,,Plusiinae,Plusiine Looper Moths,Insecta,122455
